Printing Modifier Definitions:
Tag: none, Categories: none
Tag: interest_group_ig_armed_forces_pol_str_mult, Categories: interest_group
Tag: interest_group_ig_devout_pol_str_mult, Categories: interest_group
Tag: interest_group_ig_industrialists_pol_str_mult, Categories: interest_group
Tag: interest_group_ig_intelligentsia_pol_str_mult, Categories: interest_group
Tag: interest_group_ig_landowners_pol_str_mult, Categories: interest_group
Tag: interest_group_ig_petty_bourgeoisie_pol_str_mult, Categories: interest_group
Tag: interest_group_ig_rural_folk_pol_str_mult, Categories: interest_group
Tag: interest_group_ig_trade_unions_pol_str_mult, Categories: interest_group
Tag: interest_group_pol_str_mult, Categories: interest_group
Tag: country_bureaucracy_add, Categories: country
Tag: country_bureaucracy_mult, Categories: country
Tag: country_bureaucracy_investment_cost_factor_mult, Categories: country
Tag: country_authority_add, Categories: country
Tag: country_authority_mult, Categories: country
Tag: country_influence_add, Categories: country
Tag: country_influence_mult, Categories: country
Tag: country_convoys_capacity_add, Categories: country
Tag: country_convoys_capacity_mult, Categories: country
Tag: country_construction_add, Categories: country
Tag: country_private_construction_allocation_mult, Categories: country
Tag: country_prestige_add, Categories: country
Tag: country_prestige_mult, Categories: country
Tag: country_max_declared_interests_add, Categories: country
Tag: country_max_declared_interests_mult, Categories: country
Tag: country_diplomatic_play_maneuvers_add, Categories: country
Tag: country_army_power_projection_add, Categories: country
Tag: country_army_power_projection_mult, Categories: country
Tag: country_navy_power_projection_add, Categories: country
Tag: country_navy_power_projection_mult, Categories: country
Tag: country_infamy_generation_mult, Categories: country
Tag: country_infamy_decay_mult, Categories: country
Tag: country_tension_decay_mult, Categories: country
Tag: country_improve_relations_speed_mult, Categories: country
Tag: country_damage_relations_speed_mult, Categories: country
Tag: country_minting_add, Categories: country
Tag: country_minting_mult, Categories: country
Tag: country_expenses_add, Categories: country
Tag: country_government_wages_mult, Categories: country
Tag: country_military_wages_mult, Categories: country
Tag: country_military_goods_cost_mult, Categories: country
Tag: country_tax_income_add, Categories: country
Tag: tax_income_add, Categories: tax
Tag: tax_consumption_add, Categories: tax
Tag: tax_dividends_add, Categories: tax
Tag: tax_per_capita_add, Categories: tax
Tag: tax_land_add, Categories: tax
Tag: tax_heathen_add, Categories: tax
Tag: country_consumption_tax_cost_mult, Categories: country
Tag: country_loan_interest_rate_add, Categories: country
Tag: country_loan_interest_rate_mult, Categories: country
Tag: country_gold_reserve_limit_mult, Categories: country
Tag: interest_group_pol_str_factor, Categories: interest_group
Tag: interest_group_ig_armed_forces_approval_add, Categories: interest_group
Tag: interest_group_ig_devout_approval_add, Categories: interest_group
Tag: interest_group_ig_industrialists_approval_add, Categories: interest_group
Tag: interest_group_ig_intelligentsia_approval_add, Categories: interest_group
Tag: interest_group_ig_landowners_approval_add, Categories: interest_group
Tag: interest_group_ig_petty_bourgeoisie_approval_add, Categories: interest_group
Tag: interest_group_ig_rural_folk_approval_add, Categories: interest_group
Tag: interest_group_ig_trade_unions_approval_add, Categories: interest_group
Tag: interest_group_ig_armed_forces_pop_attraction_mult, Categories: interest_group
Tag: interest_group_ig_devout_pop_attraction_mult, Categories: interest_group
Tag: interest_group_ig_industrialists_pop_attraction_mult, Categories: interest_group
Tag: interest_group_ig_intelligentsia_pop_attraction_mult, Categories: interest_group
Tag: interest_group_ig_landowners_pop_attraction_mult, Categories: interest_group
Tag: interest_group_ig_petty_bourgeoisie_pop_attraction_mult, Categories: interest_group
Tag: interest_group_ig_rural_folk_pop_attraction_mult, Categories: interest_group
Tag: interest_group_ig_trade_unions_pop_attraction_mult, Categories: interest_group
Tag: interest_group_approval_add, Categories: interest_group
Tag: interest_group_pop_attraction_mult, Categories: interest_group
Tag: interest_group_in_government_approval_add, Categories: interest_group
Tag: interest_group_in_opposition_approval_add, Categories: interest_group
Tag: country_opposition_ig_approval_add, Categories: country
Tag: country_voting_power_base_add, Categories: country
Tag: country_voting_power_from_literacy_add, Categories: country
Tag: country_voting_power_wealth_threshold_add, Categories: country
Tag: country_legitimacy_base_add, Categories: country
Tag: country_legitimacy_govt_total_clout_add, Categories: country
Tag: country_legitimacy_govt_total_votes_add, Categories: country
Tag: country_legitimacy_headofstate_add, Categories: country
Tag: country_legitimacy_govt_leader_clout_add, Categories: country
Tag: country_legitimacy_govt_size_add, Categories: country
Tag: country_legitimacy_ideological_incoherence_mult, Categories: country
Tag: country_suppression_ig_attraction_mult, Categories: country
Tag: country_promotion_ig_attraction_mult, Categories: country
Tag: country_institution_size_change_speed_mult, Categories: country
Tag: country_law_enactment_time_mult, Categories: country
Tag: country_law_enactment_success_add, Categories: country
Tag: country_cannot_enact_laws, Categories: country
Tag: country_decree_cost_mult, Categories: country
Tag: political_movement_support_add, Categories: political_movement
Tag: political_movement_support_mult, Categories: political_movement
Tag: political_movement_radicalism_add, Categories: political_movement
Tag: political_movement_radicalism_mult, Categories: political_movement
Tag: country_agitator_slots_add, Categories: country
Tag: country_revolution_clock_time_add, Categories: country
Tag: country_revolution_progress_add, Categories: country
Tag: country_revolution_progress_mult, Categories: country
Tag: country_secession_clock_time_add, Categories: country
Tag: country_secession_progress_add, Categories: country
Tag: country_secession_progress_mult, Categories: country
Tag: country_radicals_from_conquest_mult, Categories: country
Tag: market_land_trade_capacity_add, Categories: market
Tag: market_max_exports_add, Categories: market
Tag: market_max_imports_add, Categories: market
Tag: tariff_import_add, Categories: tariff
Tag: tariff_export_add, Categories: tariff
Tag: country_trade_route_imports_add, Categories: country
Tag: country_trade_route_exports_add, Categories: country
Tag: country_trade_route_quantity_mult, Categories: country
Tag: country_trade_route_cost_mult, Categories: country
Tag: country_trade_route_competitiveness_mult, Categories: country
Tag: country_weekly_innovation_add, Categories: country
Tag: country_weekly_innovation_mult, Categories: country
Tag: country_weekly_innovation_max_add, Categories: country
Tag: country_tech_spread_add, Categories: country
Tag: country_tech_spread_mult, Categories: country
Tag: country_tech_research_speed_mult, Categories: none
Tag: country_war_exhaustion_casualties_mult, Categories: country
Tag: country_resource_discovery_chance_mult, Categories: country
Tag: country_resource_depletion_chance_mult, Categories: country
Tag: state_construction_mult, Categories: state
Tag: state_pop_pol_str_add, Categories: state
Tag: state_pop_pol_str_mult, Categories: state
Tag: state_welfare_payments_add, Categories: state
Tag: state_standard_of_living_add, Categories: state
Tag: state_poor_standard_of_living_add, Categories: state
Tag: state_middle_standard_of_living_add, Categories: state
Tag: state_rich_standard_of_living_add, Categories: state
Tag: state_expected_sol_mult, Categories: state
Tag: state_expected_sol_from_literacy, Categories: state
Tag: state_poor_expected_sol, Categories: state
Tag: state_middle_expected_sol, Categories: state
Tag: state_rich_expected_sol, Categories: state
Tag: state_unincorporated_standard_of_living_add, Categories: state
Tag: state_urbanization_add, Categories: state
Tag: state_urbanization_mult, Categories: state
Tag: state_tax_capacity_add, Categories: state
Tag: state_tax_capacity_mult, Categories: state
Tag: state_tax_waste_add, Categories: state
Tag: state_tax_collection_mult, Categories: state
Tag: state_education_access_add, Categories: state
Tag: state_education_access_wealth_add, Categories: state
Tag: state_pop_qualifications_mult, Categories: state
Tag: state_working_adult_ratio_add, Categories: state
Tag: state_dependent_wage_add, Categories: state
Tag: state_dependent_wage_mult, Categories: state
Tag: building_economy_of_scale_level_cap_add, Categories: building
Tag: state_assimilation_mult, Categories: state
Tag: state_conversion_mult, Categories: state
Tag: state_bureaucracy_population_base_cost_factor_mult, Categories: state
Tag: state_dependent_political_participation_add, Categories: state
Tag: state_political_strength_from_wealth_mult, Categories: state
Tag: state_political_strength_from_discrimination_mult, Categories: state
Tag: state_political_strength_from_welfare_mult, Categories: state
Tag: state_port_range_add, Categories: state
Tag: state_infrastructure_add, Categories: state
Tag: state_infrastructure_from_population_add, Categories: state
Tag: state_infrastructure_from_population_mult, Categories: state
Tag: state_infrastructure_from_population_max_add, Categories: state
Tag: state_infrastructure_from_population_max_mult, Categories: state
Tag: state_infrastructure_mult, Categories: state
Tag: state_building_barracks_max_level_add, Categories: state
Tag: state_building_conscription_center_max_level_add, Categories: state
Tag: state_building_naval_base_max_level_add, Categories: state
Tag: state_building_port_max_level_add, Categories: state
Tag: state_building_construction_sector_max_level_add, Categories: state
Tag: state_colony_growth_creation_mult, Categories: state
Tag: state_colony_growth_speed_mult, Categories: state
Tag: state_non_homeland_colony_growth_speed_mult, Categories: state
Tag: state_migration_pull_add, Categories: state
Tag: state_migration_pull_mult, Categories: state
Tag: state_migration_push_mult, Categories: state
Tag: state_unincorporated_starting_wages_mult, Categories: state
Tag: state_migration_pull_unincorporated_mult, Categories: state
Tag: state_conscription_rate_add, Categories: state
Tag: state_conscription_rate_mult, Categories: state
Tag: state_birth_rate_mult, Categories: state
Tag: state_accepted_birth_rate_mult, Categories: state
Tag: state_mortality_mult, Categories: state
Tag: state_non_homeland_mortality_mult, Categories: state
Tag: state_mortality_wealth_mult, Categories: state
Tag: state_minimum_wealth_add, Categories: state
Tag: state_turmoil_effects_mult, Categories: state
Tag: state_mortality_turmoil_mult, Categories: state
Tag: state_radicals_from_discrimination_mult, Categories: state
Tag: state_radicals_from_sol_change_mult, Categories: state
Tag: state_loyalists_from_sol_change_mult, Categories: state
Tag: state_radicals_from_sol_change_accepted_culture_mult, Categories: state
Tag: state_loyalists_from_sol_change_accepted_culture_mult, Categories: state
Tag: state_radicals_from_sol_change_accepted_religion_mult, Categories: state
Tag: state_loyalists_from_sol_change_accepted_religion_mult, Categories: state
Tag: character_command_limit_mult, Categories: character
Tag: character_morale_cap_add, Categories: character
Tag: character_attrition_risk_add, Categories: character
Tag: character_attrition_risk_mult, Categories: character
Tag: character_popularity_add, Categories: character
Tag: character_health_add, Categories: character
Tag: character_supply_route_cost_mult, Categories: character
Tag: front_advancement_speed_add, Categories: front
Tag: front_advancement_speed_mult, Categories: front
Tag: front_enemy_advancement_speed_add, Categories: front
Tag: front_enemy_advancement_speed_mult, Categories: front
Tag: battle_offense_owned_province_mult, Categories: battle
Tag: battle_defense_owned_province_mult, Categories: battle
Tag: battle_casualties_mult, Categories: battle
Tag: unit_offense_add, Categories: unit
Tag: unit_offense_mult, Categories: unit
Tag: unit_defense_add, Categories: unit
Tag: unit_defense_mult, Categories: unit
Tag: unit_army_offense_add, Categories: unit
Tag: unit_army_offense_mult, Categories: unit
Tag: unit_army_defense_add, Categories: unit
Tag: unit_army_defense_mult, Categories: unit
Tag: unit_navy_offense_add, Categories: unit
Tag: unit_navy_offense_mult, Categories: unit
Tag: unit_navy_defense_add, Categories: unit
Tag: unit_navy_defense_mult, Categories: unit
Tag: unit_morale_loss_add, Categories: unit
Tag: unit_morale_loss_mult, Categories: unit
Tag: unit_morale_damage_mult, Categories: unit
Tag: unit_morale_recovery_mult, Categories: unit
Tag: unit_kill_rate_add, Categories: unit
Tag: unit_recovery_rate_add, Categories: unit
Tag: unit_provinces_captured_mult, Categories: unit
